features,k,silhouette,homogeneity
coverage alpha,6,0.45842959140766604,0.14468654547482104
coverage alpha,7,0.4931401424626081,0.19878146265672908
coverage alpha,8,0.5183278767868399,0.2170065361002582
coverage alpha,9,0.5165053622321819,0.21700653610025822
coverage alpha,10,0.5437840453326572,0.2233170392497066
coverage alpha,11,0.550348561826424,0.22842690952282066
coverage alpha,12,0.5438776247718192,0.24071868362244195
coverage alpha,13,0.523175088558564,0.2629329838932692
coverage alpha,14,0.5206632830491701,0.30558947959673505
coverage alpha,15,0.5422371512526108,0.2697411973290865
coverage alpha,16,0.5236442236628244,0.28194142451388804
coverage alpha,17,0.5277638727388143,0.3237500456009894
coverage alpha,18,0.5293233197329424,0.3401273565428106
coverage alpha,19,0.5222265648877523,0.3401273565428106
coverage alpha,20,0.522040868680074,0.3738933977582446
coverage error,2,0.7177447035063365,0.01912504875931478
coverage error,3,0.48485485182536786,0.03817868548073247
coverage error,4,0.5510888344942566,0.07532744379963459
coverage error,5,0.5462578530136685,0.07869560552672283
coverage error,6,0.5054709678081905,0.0893082908911149
coverage error,7,0.5129115979562008,0.11271096628162577
coverage error,8,0.4798473422594206,0.15018245081857495
coverage error,9,0.5140950967699659,0.15338755673919427
coverage error,10,0.48207514471614,0.19862859408153463
coverage error,11,0.49044483898230334,0.1924277114413177
coverage error,12,0.5244480270467561,0.20731553430674693
coverage error,13,0.5341889104169113,0.22508373735952883
coverage error,14,0.5517288161057325,0.23427307115301815
coverage error,15,0.54948578016927,0.2464783065223181
coverage error,16,0.5525255844866387,0.2504787483504091
coverage error,17,0.5406745030897379,0.2504787483504091
coverage error,18,0.540245559855448,0.26932014617553474
coverage error,19,0.5326571875332282,0.27264214098033723
coverage error,20,0.5364237956519267,0.31362333884544163
coverage diameter,2,0.7024563632663612,0.01912504875931478
coverage diameter,3,0.591645136292871,0.059376452276665395
coverage diameter,4,0.5229564317784261,0.09989068997145337
coverage diameter,5,0.5209160766142188,0.12666152708905246
coverage diameter,6,0.4971786358919099,0.17339390003276203
coverage diameter,7,0.508485729603948,0.1887343121463866
coverage diameter,8,0.5286945514085126,0.1949989497993486
coverage diameter,9,0.5367401023179782,0.20462382512991253
coverage diameter,10,0.5146693651329555,0.22806546498587682
coverage diameter,11,0.49988694534651884,0.24064695114956847
coverage diameter,12,0.5114619195883962,0.23703681750937688
coverage diameter,13,0.504063707921067,0.2529387252491897
coverage diameter,14,0.5117391530476687,0.28998763165279723
coverage diameter,15,0.5130410841682272,0.27853701366202266
coverage diameter,16,0.5305647086321459,0.29673645472389787
coverage diameter,17,0.5192684755945993,0.29673645472389787
coverage diameter,18,0.5198768898953642,0.2933682929968096
coverage diameter,19,0.5221162307946973,0.31985414404186635
coverage diameter,20,0.5256745976922931,0.33824996149466136
coverage est_apl,2,0.747078892342331,0.01912504875931478
coverage est_apl,3,0.5500349269520699,0.06485402611071524
coverage est_apl,4,0.4986474043918608,0.12417964379008399
coverage est_apl,5,0.5064535420159297,0.1509504809076831
coverage est_apl,6,0.5011557019541505,0.15830470303765432
coverage est_apl,7,0.48708904662661295,0.19881859910295474
coverage est_apl,8,0.5232596932311517,0.2342540027982529
coverage est_apl,9,0.5320636520892363,0.23994268424955925
coverage est_apl,10,0.5406526191526028,0.24949857672309514
coverage est_apl,11,0.5820087720921582,0.2540386057720004
coverage est_apl,12,0.5711831053175228,0.2574067674990886
coverage est_apl,13,0.557765814303099,0.25740676749908864
coverage est_apl,14,0.5538482006771763,0.2838921539617256
coverage est_apl,15,0.5545302442546542,0.28519749779823717
coverage est_apl,16,0.5469607927725871,0.29412111017077014
coverage est_apl,17,0.5580192743037317,0.31224026565498836
coverage est_apl,18,0.5420104527848649,0.3468756664391936
coverage est_apl,19,0.5386011407834556,0.3506894085386124
coverage est_apl,20,0.538872712839405,0.3540575702657006
coverage transitivity,2,0.7515284126935475,0.01912504875931478
coverage transitivity,3,0.6869874580261489,0.04856891337567495
coverage transitivity,4,0.6440897877906514,0.06274227548066938
coverage transitivity,5,0.6591670789580926,0.07503404958029063
coverage transitivity,6,0.6632412168495827,0.09288127432535667
coverage transitivity,7,0.6706677503913603,0.11129173187859094
coverage transitivity,8,0.6486674595822389,0.1261416469510829
coverage transitivity,9,0.6176234973227516,0.14846171439908937
coverage transitivity,10,0.5670154157397316,0.20060941058234197
coverage transitivity,11,0.5702047369302536,0.20390612794572155
coverage transitivity,12,0.5858565234189101,0.20487472215855881
coverage transitivity,13,0.5818502817150261,0.22185636502618583
coverage transitivity,14,0.5766945459569457,0.20855952963644747
coverage transitivity,15,0.5647006749481414,0.20855952963644747
coverage transitivity,16,0.5656252731264355,0.22413722010730328
coverage transitivity,17,0.566827682322538,0.24643046705279104
coverage transitivity,18,0.5687364063237758,0.2555407791539962
coverage transitivity,19,0.5782694047756055,0.2641746794624589
coverage transitivity,20,0.5725029052063878,0.2614645541417043
coverage density,2,0.7849132684191101,0.01912504875931478
coverage density,3,0.7515523880785476,0.03256696033116919
coverage density,4,0.7713976799307243,0.04704602334914701
coverage density,5,0.6888167066718611,0.0701701384675699
coverage density,6,0.6927383821654672,0.08246191256719115
coverage density,7,0.6957119875661949,0.10209605154089584
coverage density,8,0.6630581217374514,0.1236306022689793
coverage density,9,0.6526781348000583,0.13592237636860058
coverage density,10,0.6627298210305406,0.1429436858953193
coverage density,11,0.6613371033641278,0.1574227489132971
coverage density,12,0.5484713213076674,0.1912168623973944
coverage density,13,0.5417401350862093,0.19121686239739444
coverage density,14,0.5718995037530668,0.18741835651491684
coverage density,15,0.5669548829494362,0.1997101306145381
coverage density,16,0.5321086395351966,0.20961436470166298
coverage density,17,0.539472412898723,0.21912508339154968
coverage density,18,0.5658524915783721,0.23752944558491398
coverage density,19,0.5565065219760552,0.23752944558491407
coverage density,20,0.5482739060430233,0.27071033011758855
alpha error,2,0.3237552773180633,0.05413718204140098
alpha error,3,0.35049578824608363,0.08895892117684186
alpha error,4,0.33144924833293643,0.12670441707451505
alpha error,5,0.3735816779303564,0.12719672719072267
alpha error,6,0.3661208617888871,0.17594426127520443
alpha error,7,0.4036244394819941,0.15550328074956882
alpha error,8,0.3883570235001384,0.1874373769067631
alpha error,9,0.3988293317116705,0.22808885507408436
alpha error,10,0.3950058285097306,0.2492238086501311
alpha error,11,0.38785131425687586,0.25778291515905666
alpha error,12,0.3938294599632745,0.28791117849331954
alpha error,13,0.41454032268894037,0.29395676209655763
alpha error,14,0.40779510582852213,0.30902660945376603
alpha error,15,0.40542735475286873,0.32808763776164773
alpha error,16,0.39176388082368135,0.33857482395922267
alpha error,17,0.4169442138294949,0.368330385236322
alpha error,18,0.4330779999667512,0.3859149050486548
alpha error,19,0.43311574259858127,0.38863602257296836
alpha error,20,0.4474682344994932,0.4041807030347143
alpha diameter,2,0.4088252467473449,0.0407658922788413
alpha diameter,3,0.4236692210226115,0.06554537813398827
alpha diameter,4,0.37515594605868086,0.12256613585868702
alpha diameter,5,0.35478138720420993,0.19304436831735394
alpha diameter,6,0.35892856970456677,0.2087839147168981
alpha diameter,7,0.3845797914096579,0.21781434440056513
alpha diameter,8,0.39838655032632597,0.24006473242572557
alpha diameter,9,0.4050020850262889,0.2518601625705654
alpha diameter,10,0.41408011578734155,0.28510242423941057
alpha diameter,11,0.39426852434832615,0.28904808433944323
alpha diameter,12,0.4018359678703181,0.3161825541185872
alpha diameter,13,0.39934200103875134,0.3230208419385109
alpha diameter,14,0.4065311454358773,0.31099651349023644
alpha diameter,15,0.42008504481518266,0.32942364232736204
alpha diameter,16,0.38914517006091487,0.3779521132635631
alpha diameter,17,0.41723488599755526,0.37608788890189526
alpha diameter,18,0.39216222194807027,0.3854815677058896
alpha diameter,19,0.3796187114796538,0.3917414793673235
alpha diameter,20,0.3938879489949392,0.39451570945185804
alpha est_apl,2,0.4263050223202674,0.04337289296242654
alpha est_apl,3,0.3428327802778828,0.08949108443481846
alpha est_apl,4,0.3487688035511895,0.13942809851736912
alpha est_apl,5,0.34678944322738836,0.1456610321647602
alpha est_apl,6,0.3525039624962451,0.18440649779183782
alpha est_apl,7,0.37694466045606156,0.21435036620050174
alpha est_apl,8,0.3639035047051295,0.19903473105850394
alpha est_apl,9,0.3566139557665477,0.23076233730806833
alpha est_apl,10,0.3747232057282626,0.26337907368646035
alpha est_apl,11,0.37789804017717415,0.2672780921381848
alpha est_apl,12,0.3722295182621233,0.30936084464635777
alpha est_apl,13,0.3969766742360575,0.3152358847887451
alpha est_apl,14,0.3682753449474953,0.31512991625566217
alpha est_apl,15,0.39778949240313294,0.3498247749613694
alpha est_apl,16,0.4024206019695159,0.36359465097182986
alpha est_apl,17,0.400671432101148,0.36669216898961315
alpha est_apl,18,0.41849185462949184,0.3746556524875422
alpha est_apl,19,0.4192547591810428,0.42975233554009395
alpha est_apl,20,0.42551581072173517,0.441152948895054
alpha transitivity,2,0.5036184172217445,0.030009141497195118
alpha transitivity,3,0.4436915194948643,0.06712475248797622
alpha transitivity,4,0.4060390365473996,0.09768451070896247
alpha transitivity,5,0.4211135109086254,0.1327652675834546
alpha transitivity,6,0.41605694171458824,0.16182492486517358
alpha transitivity,7,0.40223167846406194,0.2102184365376313
alpha transitivity,8,0.4174916532166167,0.24536341553448923
alpha transitivity,9,0.43759963395136714,0.23905032079818384
alpha transitivity,10,0.4353370509874636,0.23748225664743994
alpha transitivity,11,0.44452663090479577,0.268074609489854
alpha transitivity,12,0.4679083592646311,0.27507622443069074
alpha transitivity,13,0.4715499736471147,0.26705601583238436
alpha transitivity,14,0.45876044683739425,0.3151643201123013
alpha transitivity,15,0.4737851115766811,0.31391983139627166
alpha transitivity,16,0.4802281838372195,0.3321972461807799
alpha transitivity,17,0.47796053067963123,0.34525268263053366
alpha transitivity,18,0.4583766202483009,0.362859358535429
alpha transitivity,19,0.4600668942761179,0.3756467779337338
alpha transitivity,20,0.45756761486141145,0.3961529773983708
alpha density,2,0.5729859616357627,0.022628317042774005
alpha density,3,0.48486416327459525,0.06408660199000094
alpha density,4,0.4453896234547783,0.09602319830276697
alpha density,5,0.4192673531889394,0.12158050726611092
alpha density,6,0.43648136511458646,0.1603760291945742
alpha density,7,0.4426305028928978,0.17607437022107808
alpha density,8,0.43303123516801023,0.2231163941499146
alpha density,9,0.42759862528469683,0.2334797599748378
alpha density,10,0.4447043075998635,0.22993639615682215
alpha density,11,0.45637504139462626,0.24568156299401153
alpha density,12,0.473277636526906,0.25598745244019433
alpha density,13,0.4736822451985916,0.2936554839886737
alpha density,14,0.48389950142722965,0.3042302921887586
alpha density,15,0.4879181895812516,0.3187093552067363
alpha density,16,0.4813347837584281,0.33298947546647667
alpha density,17,0.48914538784186795,0.33680321756589554
alpha density,18,0.46141728928415304,0.37065216302558324
alpha density,19,0.4585470257273916,0.3672602069522014
alpha density,20,0.4627159595565442,0.3795757753981163
error diameter,2,0.40428421974399614,0.03216652185098115
error diameter,3,0.4010001653347372,0.06545615251385273
error diameter,4,0.39755222657420414,0.10898023509311414
error diameter,5,0.411466850071502,0.12188506798796124
error diameter,6,0.38345730952860535,0.15021852078069012
error diameter,7,0.39458048122972733,0.1665275727954864
error diameter,8,0.39836655877647836,0.19045515213308226
error diameter,9,0.3840257387869191,0.23056079777179145
error diameter,10,0.3805203531810172,0.2560355067156953
error diameter,11,0.361479050790321,0.281939474879294
error diameter,12,0.3789190465010733,0.2788311951302622
error diameter,13,0.3741510619195382,0.3137950178849832
error diameter,14,0.37940821723443563,0.3187590579600808
error diameter,15,0.39225962118765345,0.34392498648514885
error diameter,16,0.40122572903276016,0.34863308738718723
error diameter,17,0.38953892917998295,0.3609840628209517
error diameter,18,0.4155622653303366,0.3636729861424592
error diameter,19,0.4058999666772634,0.35838040558092343
error diameter,20,0.4226901255123986,0.39486535940134926
error est_apl,2,0.3155203993714855,0.03890816197914609
error est_apl,3,0.3796978209286599,0.049793968693780305
error est_apl,4,0.3544300362800026,0.10457601340939227
error est_apl,5,0.4021969640446321,0.10941491112166513
error est_apl,6,0.41196288129600844,0.13533408460118554
error est_apl,7,0.4267626911102929,0.16485522496313332
error est_apl,8,0.41038792225446286,0.17013400319426178
error est_apl,9,0.36717010696033564,0.2127952023755749
error est_apl,10,0.4297838200189946,0.20653746930283898
error est_apl,11,0.3904224530592921,0.21406589050259975
error est_apl,12,0.3979421577892077,0.22726893218211
error est_apl,13,0.40069125923760346,0.2539813750314941
error est_apl,14,0.3957049849068999,0.2772287325923141
error est_apl,15,0.37747290777446435,0.3057905216886447
error est_apl,16,0.3900973284477313,0.3082868476131958
error est_apl,17,0.41272477181431755,0.3399808552752368
error est_apl,18,0.4088595306475911,0.3343738200031409
error est_apl,19,0.42074394694724737,0.3663344819342366
error est_apl,20,0.40155193016511326,0.3727342346892198
error transitivity,2,0.5036234381797089,0.02882323574994683
error transitivity,3,0.40139964015019897,0.03713000588348892
error transitivity,4,0.4388132334630932,0.07115355704932082
error transitivity,5,0.44532111687218134,0.10677233465595183
error transitivity,6,0.4688678718615958,0.1367566760165132
error transitivity,7,0.4617104492216938,0.16201568034652164
error transitivity,8,0.45956076101124965,0.2058661041921093
error transitivity,9,0.42239581790544856,0.19262718079872695
error transitivity,10,0.4429047735635643,0.20292350618239025
error transitivity,11,0.43743069792218897,0.21055099038122804
error transitivity,12,0.4479518987837989,0.22792827615579508
error transitivity,13,0.45048039628310993,0.26111418614875215
error transitivity,14,0.45085085994727303,0.2549264554023045
error transitivity,15,0.45362219499677114,0.26338372042296243
error transitivity,16,0.43058636110313225,0.27498698305842767
error transitivity,17,0.4455229138651339,0.3068223515143161
error transitivity,18,0.4319780205618683,0.3022916487819839
error transitivity,19,0.41641915527338524,0.3454508888374934
error transitivity,20,0.44201778615417076,0.3272894659692262
error density,2,0.5484518319636481,0.028592988056541986
error density,3,0.4453182264985845,0.03907014387046173
error density,4,0.48188851647015896,0.0671910033415228
error density,5,0.5061084005363208,0.08371989098376935
error density,6,0.4866351957410086,0.10974773537840266
error density,7,0.5008750217313666,0.12140722937702111
error density,8,0.4980502164074494,0.17217848958348775
error density,9,0.4630482779830998,0.1923313144790136
error density,10,0.4726551872902369,0.2051839243159291
error density,11,0.47462679454041334,0.22147614024364137
error density,12,0.46741817087466936,0.23510921630060727
error density,13,0.45873819791871895,0.2309002735679538
error density,14,0.4696299112308678,0.26053106927164893
error density,15,0.46176732670532256,0.2722742506635414
error density,16,0.45086766832686487,0.2949944895905133
error density,17,0.4530454492766425,0.29653043005310153
error density,18,0.4549935377531396,0.30867106183599063
error density,19,0.45811305631896687,0.3263576922812683
error density,20,0.4690668833180103,0.33431388211771995
diameter est_apl,2,0.4640751826407176,0.037121778705976424
diameter est_apl,3,0.38420884879520223,0.11089400856469048
diameter est_apl,4,0.3559669714601869,0.1582735796326442
diameter est_apl,5,0.380926780927717,0.13593916405149703
diameter est_apl,6,0.35627271916746034,0.16341893362680934
diameter est_apl,7,0.3531565017214357,0.1757339067557141
diameter est_apl,8,0.35786212284378605,0.21621775354912867
diameter est_apl,9,0.36686559856908446,0.24596732572176067
diameter est_apl,10,0.3683875417385993,0.2593919081305002
diameter est_apl,11,0.3662032510815586,0.2632922145658518
diameter est_apl,12,0.36960520292223664,0.2861976838996718
diameter est_apl,13,0.3685397788885611,0.29868393135336146
diameter est_apl,14,0.37564342294475245,0.32639195986328357
diameter est_apl,15,0.38679525816186777,0.33715277607920363
diameter est_apl,16,0.37047866611465674,0.34306513712481823
diameter est_apl,17,0.38741974939306034,0.3850766002768556
diameter est_apl,18,0.397507410578839,0.38732765136970787
diameter est_apl,19,0.3810174428919144,0.39687745506932126
diameter est_apl,20,0.3976239534908727,0.43252809355819855
diameter transitivity,2,0.4619319498873473,0.03073193431667197
diameter transitivity,3,0.47602856918369324,0.06415632463978682
diameter transitivity,4,0.39395482609988014,0.10074707018100869
diameter transitivity,5,0.412332539060683,0.12002252847776701
diameter transitivity,6,0.4178701989531637,0.12255221519647401
diameter transitivity,7,0.42505305670601656,0.14457912921697416
diameter transitivity,8,0.39660796896378314,0.19727295806121095
diameter transitivity,9,0.426260215546499,0.1829659322499193
diameter transitivity,10,0.40667103882623545,0.22186388206422314
diameter transitivity,11,0.41685012071048305,0.24149607587800054
diameter transitivity,12,0.43951586994482467,0.24196984009135425
diameter transitivity,13,0.44214384653965266,0.25218958063758257
diameter transitivity,14,0.4194975471643739,0.25300874653996586
diameter transitivity,15,0.4225611150521986,0.25022055941958776
diameter transitivity,16,0.42993415102052296,0.2898126949897716
diameter transitivity,17,0.41074463493069174,0.3074162831568698
diameter transitivity,18,0.42367678767857997,0.3048149369994317
diameter transitivity,19,0.4243319827687422,0.34358241844821635
diameter transitivity,20,0.4115229221769988,0.33893037157699807
diameter density,2,0.5329682885157242,0.028628473076029264
diameter density,3,0.5380479429909252,0.06515518597072839
diameter density,4,0.4622771130236522,0.09307650426622528
diameter density,5,0.48538047726483896,0.13764468384379389
diameter density,6,0.49372901651476914,0.14692336387018348
diameter density,7,0.4733990870105639,0.18984769816100283
diameter density,8,0.4855913599077423,0.20042007118503088
diameter density,9,0.49551697618747725,0.22731582663704547
diameter density,10,0.4993987779787602,0.23589052042018244
diameter density,11,0.48178998998650785,0.2481491127183946
diameter density,12,0.4560738127756119,0.27380857175637646
diameter density,13,0.4739087320909981,0.2726234238119454
diameter density,14,0.472806746932731,0.30056674410587575
diameter density,15,0.4790348369619427,0.30993593685073945
diameter density,16,0.448925557846224,0.3214098445720574
diameter density,17,0.4539995572976515,0.34909017423780553
diameter density,18,0.4577581994673271,0.3331099515139725
diameter density,19,0.4274438965191712,0.36458247869060817
diameter density,20,0.44463400182677193,0.36828041494649405
est_apl transitivity,2,0.44674673418534633,0.03975356914662115
est_apl transitivity,3,0.45262677832049825,0.06270385863965214
est_apl transitivity,4,0.44542725385990367,0.08341633372513771
est_apl transitivity,5,0.4647753427064735,0.15859490387191127
est_apl transitivity,6,0.43989761166386904,0.15418241268274716
est_apl transitivity,7,0.44169479456673605,0.17599808778637804
est_apl transitivity,8,0.45506320909146764,0.21770564617267532
est_apl transitivity,9,0.4276450380281367,0.23753753402305322
est_apl transitivity,10,0.43197311144163725,0.24471943784956035
est_apl transitivity,11,0.4500625993556154,0.2776879187766043
est_apl transitivity,12,0.45026999559679404,0.24322473432853278
est_apl transitivity,13,0.427261199363058,0.2771089163869979
est_apl transitivity,14,0.4608550855448612,0.2516711983570456
est_apl transitivity,15,0.4587368818362713,0.29156891105021043
est_apl transitivity,16,0.45769674065139815,0.3165639954163281
est_apl transitivity,17,0.4584775759338547,0.35037632386678286
est_apl transitivity,18,0.46340292699323127,0.34230325929561456
est_apl transitivity,19,0.4495300065827873,0.36538852377788084
est_apl transitivity,20,0.4413043913579221,0.36794448616205355
est_apl density,2,0.588307521623698,0.022628317042774005
est_apl density,3,0.4963897653389035,0.06598706102287888
est_apl density,4,0.5075320269506584,0.0735240325032426
est_apl density,5,0.46990994079331005,0.14855966131589501
est_apl density,6,0.4436415547173435,0.1613567217002303
est_apl density,7,0.4930207789807259,0.17793572877928596
est_apl density,8,0.47286243159859126,0.1872616279399126
est_apl density,9,0.49047906114309003,0.2311281731296327
est_apl density,10,0.48836192575718285,0.23449633485672094
est_apl density,11,0.47117697171650597,0.26518116093072924
est_apl density,12,0.4863189032377743,0.25800888073226735
est_apl density,13,0.47798389909796557,0.2620093225603584
est_apl density,14,0.48793848173288173,0.2831593534427266
est_apl density,15,0.4986910741126555,0.30057541943372523
est_apl density,16,0.5124735702342906,0.30984713813854364
est_apl density,17,0.5173847109837866,0.3221389122381649
est_apl density,18,0.510602401961913,0.35045152200491586
est_apl density,19,0.47995611213808426,0.3721502110767332
est_apl density,20,0.47323649568166615,0.3879131592388409
transitivity density,2,0.7122128696411817,0.032485651883841615
transitivity density,3,0.6680136227344577,0.05068593495972638
transitivity density,4,0.590740361096959,0.08319493629016853
transitivity density,5,0.5464348003448076,0.1057118725187712
transitivity density,6,0.5489205914952442,0.12492223905508373
transitivity density,7,0.5287211196680799,0.14075054280697766
transitivity density,8,0.5470472003374642,0.13935612828941224
transitivity density,9,0.5007246489963084,0.182457802501514
transitivity density,10,0.49027862515689064,0.19356870379240354
transitivity density,11,0.4966343827074639,0.21223571543307293
transitivity density,12,0.5026424597421033,0.22146810822444174
transitivity density,13,0.500525105828245,0.23609858763659133
transitivity density,14,0.4894140460660863,0.23030040081257241
transitivity density,15,0.4944720710512036,0.25158803871436364
transitivity density,16,0.4974331180002241,0.2886760476644931
transitivity density,17,0.45652843239659135,0.26761585843104185
transitivity density,18,0.4566619972436712,0.29540644749592276
transitivity density,19,0.4617148997788505,0.3139503357146739
transitivity density,20,0.4611555232190302,0.31922912439154194
coverage alpha error,2,0.5996805788411181,0.01912504875931478
coverage alpha error,3,0.32244184569507306,0.06460523007097456
coverage alpha error,4,0.35709453217669507,0.08847681396634044
coverage alpha error,5,0.324122952104797,0.13309747533126398
coverage alpha error,6,0.3558291035672388,0.1447511251719231
coverage alpha error,7,0.36336900089753316,0.17997343970291962
coverage alpha error,8,0.35277988696304524,0.19337010878908778
coverage alpha error,9,0.35500801958524475,0.20784917180706572
coverage alpha error,10,0.36608370971264437,0.22873552533463024
coverage alpha error,11,0.3673181456263782,0.25363051871040865
coverage alpha error,12,0.37799625880473336,0.25468059539719823
