contract_id,category,category_id,comp_nodes,coverage,alpha,error,diameter,est_apl,transitivity,density
47,defi,0,366471,0.999973,3.106126,0.017875,1.6391299764017893,0.3361007136702761,5.80188e-05,9.56203e-06
48,defi,0,15637,1.0,2.959997,0.013828,0.9319283132147687,0.255348461368437,0.00177969,0.000664736
49,defi,0,381156,1.0,3.483387,0.003065,0.9337820868644617,0.212818664493149,6.78795e-06,6.81227e-06
50,defi,0,77960,1.0,4.408528,0.0335,0.7990091467243615,0.23626238818910153,3.38948e-06,5.36145e-05
51,games,6,22243,0.99964,2.522409,0.016061,1.2987295008065396,0.32037778622234625,0.00493235,0.000291202
52,defi,0,437609,0.999957,4.794665,0.034914,1.4627670624802396,0.25802402610880054,2.16028e-05,7.79668e-06
53,defi,0,245698,0.99844,2.659719,0.01703,1.2890897930476783,0.30470779415052435,0.000180777,1.73183e-05
54,games,6,147278,1.0,5.090625,0.030201,0.8403306803377485,0.2516417280789487,4.59066e-05,3.19943e-05
55,defi,0,67402,0.999985,4.775655,0.043466,0.7195260501302195,0.28232466350513874,0.00026238,0.000126015
56,defi,0,1265789,0.999968,6.283847,0.002031,0.7116826738473454,0.14392614918977453,2.80378e-08,1.59656e-06
57,defi,0,13887,1.0,2.66637,0.022678,0.6290159767666884,0.2500470601002708,0.0012689,0.000490036
58,other,1,415,0.176671,3.511625,0.016673,1.4929635334194176,0.40590875019927875,0.000264632,0.0049124
59,defi,0,23881,1.0,2.101165,0.017987,1.091179078263185,0.3368234715106135,0.000555647,0.000167139
60,games,6,223719,0.999933,3.865598,0.018906,1.2177157101187592,0.2338753722769297,3.26076e-05,1.81955e-05
61,games,6,297343,0.999956,2.938661,0.010391,1.1108782116521347,0.3026836841759426,0.00013217,1.22391e-05
62,games,6,246114,0.999789,2.630675,0.017528,3.947299484645351,0.28069319136732196,0.000101026,1.59873e-05
63,content,4,706472,0.999994,5.321529,0.036875,0.7424986007697764,0.27184833970487543,3.03531e-06,4.54267e-06
64,mining,8,1200720,0.999995,8.795561,0.000554,0.5714925812579623,0.14299680202176027,1.47274e-09,1.66847e-06
65,mining,8,1199236,1.0,11.591052,3.5e-05,0.5001001898815286,0.14289877114251653,3.8813e-10,1.66794e-06
66,other,1,590893,0.991262,8.427512,0.030139,0.7524799728378564,0.16157325224771735,3.05285e-06,6.57308e-06
67,defi,0,262982,0.999935,2.947072,0.014778,1.0416799491082442,0.2977026742063674,8.66493e-05,1.51941e-05
68,storage,7,91882,1.0,2.451431,0.095823,0.7000190495429431,0.1947129237018054,1.25143e-05,5.51258e-05
